seq,mre,inf_time,fps,map,miss_rate
0000,0.0964,59.3,16.9,0.72,47.49
0001,0.0864,57.24,17.5,0.77,11.8
0002,0.0844,56.64,17.7,0.8,16.67
0003,0.0944,67.49,14.8,0.86,0.0
0004,0.1198,68.25,14.7,0.75,1.37
0006,0.0541,71.06,14.1,0.8,0.74
0007,0.0749,60.72,16.5,0.79,8.7
0009,0.106,66.63,15.0,0.74,12.03
0010,0.0864,59.29,16.9,0.9,0.0
0011,0.0996,57.05,17.5,0.84,7.16
0013,0.0358,59.04,16.9,0.73,10.75
0015,0.3156,62.82,15.9,0.79,6.4
0016,0.1195,66.3,15.1,0.73,14.59
0017,0.4411,57.38,17.4,0.8,0.53
0018,0.2662,70.5,14.2,0.85,1.71
0019,0.1632,58.53,17.1,0.71,7.63
0020,0.2887,64.66,15.5,0.85,1.36
0001,0.0865,56.83,17.6,0.77,11.8
0000,0.0964,59.95,16.7,0.72,47.49
0002,0.0844,76.72,13.0,0.8,16.67
0003,0.0944,65.71,15.2,0.86,0.0
0003,0.0944,82.63,12.1,0.86,0.0
0006,0.0541,60.96,16.4,0.8,0.74
0007,0.0749,68.26,14.6,0.79,8.7
0010,0.0864,79.65,12.6,0.9,0.0
0013,0.0358,60.36,16.6,0.73,10.75
0013,0.0358,72.59,13.8,0.73,10.75
0013,0.0358,71.96,13.9,0.73,10.75
0016,0.1195,57.16,17.5,0.73,14.59
0017,0.4411,61.82,16.2,0.8,0.53
